#1 C:\dolibarr\www\dolibarr\htdocs\core\class\html.formsetup.class.php(230): FormSetup->generateLineOutput(Object(FormSetupItem), false)
#2 C:\dolibarr\www\dolibarr\htdocs\core\class\html.formsetup.class.php(165): FormSetup->generateTableOutput(false)
#3 C:\dolibarr\www\dolibarr\htdocs\custom\abscenceretard\admin\setup.php(307): FormSetup->generateOutput()
#4 {main}
  thrown in C:\dolibarr\www\dolibarr\htdocs\core\class\html.formsetup.class.php on line 1106
[03-Apr-2023 12:02:05 UTC] PHP Fatal error:  Uncaught Error: Class 'Product' not found in C:\dolibarr\www\dolibarr\htdocs\core\class\html.formsetup.class.php:1106
Stack trace:
#0 C:\dolibarr\www\dolibarr\htdocs\core\class\html.formsetup.class.php(323): FormSetupItem->generateOutputField()
#1 C:\dolibarr\www\dolibarr\htdocs\core\class\html.formsetup.class.php(230): FormSetup->generateLineOutput(Object(FormSetupItem), false)
#2 C:\dolibarr\www\dolibarr\htdocs\core\class\html.formsetup.class.php(165): FormSetup->generateTableOutput(false)
#3 C:\dolibarr\www\dolibarr\htdocs\custom\abscenceretard\admin\setup.php(307): FormSetup->generateOutput()
#4 {main}
  thrown in C:\dolibarr\www\dolibarr\htdocs\core\class\html.formsetup.class.php on line 1106
[03-Apr-2023 12:02:51 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\dolibarr\www\dolibarr\htdocs\modulebuilder\index.php on line 3199
[03-Apr-2023 12:17:44 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[03-Apr-2023 13:48:52 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[03-Apr-2023 14:11:37 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[03-Apr-2023 16:17:53 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[03-Apr-2023 16:25:28 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[03-Apr-2023 16:52:33 UTC] PHP Warning:  dns_get_record(): DNS Query failed in C:\dolibarr\www\dolibarr\htdocs\admin\mails.php on line 867
[04-Apr-2023 08:13:35 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[04-Apr-2023 08:16:35 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
